SUBW_NAME,ele5pct,Travel_Tim,CRANBERRY_1,ACTIVE_0,ACTIVE_1
AgawamReservoirN,GT5%,LT10,6699.011023679483,0.0,6699.011023679483
AgawamReservoirN,LE5%,LT10,194.699412299096,0.0,194.699412299096
AgawamReservoirS,GT5%,LT10,18754.61653972411,0.0,18754.61653972411
AgawamReservoirS,LE5%,LT10,162120.31031657994,0.0,162120.31031657994
AgawamRiver,GT5%,LT10,109681.30750303883,16682.306044208228,92999.0014588306
AgawamRiver,LE5%,LT10,90.85927510603213,90.85927510603213,0.0
AgawamRiverNorth,GT5%,LT10,10368.543816993739,0.0,10368.543816993739
AgawamRiverNorth,LE5%,LT10,52361.11768661405,0.0,52361.11768661405
AlderCreek,GT5%,LT10,9274.761215191636,0.0,9274.761215191636
AlderCreek,LE5%,LT10,22720.67509880496,0.0,22720.67509880496
BackusBrook,GT5%,LT10,113990.92310510426,0.0,113990.92310510426
BackusBrook,LE5%,LT10,120343.53628764558,0.0,120343.53628764558
BarnstableHarbor,GT5%,GT10,29994.83488564459,0.0,29994.83488564459
BarnstableHarbor,GT5%,LT10,95968.81385268527,0.0,95968.81385268527
BarnstableHarbor,LE5%,LT10,1.3664381417936895,0.0,1.3664381417936895
BayStateCompBogReservoir,GT5%,LT10,20440.82212291052,0.0,20440.82212291052
BillingtonSea,GT5%,LT10,309470.4945071507,0.0,309470.4945071507
BillingtonSea,LE5%,LT10,647.947523113883,0.0,647.947523113883
BlackwaterPond,GT5%,LT10,41720.181503186795,41720.181503186795,0.0
BlueFishRiver,GT5%,LT10,19519.057861914876,0.0,19519.057861914876
BluefishRiver,GT5%,GT10,11910.6104982457,0.0,11910.6104982457
BogPondBarnstableBarnstableHarbor,GT5%,LT10,13843.384154211555,0.0,13843.384154211555
BogPondS,GT5%,LT10,59492.594241042716,0.0,59492.594241042716
BogPondS,LE5%,LT10,132102.26343364667,0.0,132102.26343364667
BogWetlandYarmouth,GT5%,LT10,33417.353625391515,0.0,33417.353625391515
BogWetlandYarmouth,LE5%,LT10,46781.06188059899,0.0,46781.06188059899
BournesBrook,GT5%,LT10,3739.161703069633,0.0,3739.161703069633
BournesBrook,LE5%,LT10,83827.95631010109,0.0,83827.95631010109
BrackettsPond,GT5%,LT10,21363.98070159518,0.0,21363.98070159518
BridgeCreek,GT5%,LT10,30514.819163645727,0.0,30514.819163645727
BucksCreek,GT5%,LT10,11944.17018213703,0.0,11944.17018213703
BumpsRiverBog,GT5%,LT10,53.3877747939811,0.0,53.3877747939811
BumpsRiverBog,LE5%,LT10,61115.85628128303,0.0,61115.85628128303
ButtermilkBay,GT5%,LT10,1372386.2716736067,95023.66900120863,1277362.602672398
ButtermilkBay,LE5%,LT10,76.02074064466755,76.00839141463425,0.012349230033303127
CentervilleRiver,GT5%,LT10,12527.900980795624,0.0,12527.900980795624
CentervilleRiverW,GT5%,LT10,5825.83269940734,0.0,5825.83269940734
CentervilleRiverW,LE5%,LT10,1.2477696346507248,0.0,1.2477696346507248
ChildsRiver,GT5%,LT10,24153.39425878073,0.0,24153.39425878073
ChildsRiver,LE5%,LT10,34600.748785924836,0.0,34600.748785924836
ColdSpringBrook,GT5%,LT10,54042.35881857571,0.0,54042.35881857571
ColdSpringBrook,LE5%,LT10,86864.39675034385,0.0,86864.39675034385
CotuitBay,GT5%,GT10,12691.633490366245,0.0,12691.633490366245
CrabCove,GT5%,LT10,31700.640511570462,31700.640511570462,0.0
CrabCove,LE5%,LT10,43.97371237182006,43.97371237182006,0.0
DeerPond,GT5%,LT10,163.37118710561,0.0,163.37118710561
DennetsPond,GT5%,LT10,18926.138569835435,0.0,18926.138569835435
DennetsPond,LE5%,LT10,44.015308362939116,0.0,44.015308362939116
DestructionBrook,GT5%,LT10,93328.20313398079,0.0,93328.20313398079
DinahsPond,GT5%,LT10,106355.98886236336,0.0,106355.98886236336
DuxburyMarsh,GT5%,LT10,287893.20750009845,72168.27290746002,215724.93459263843
DuxburyPWS3,GT5%,LT10,7649.433600093114,0.0,7649.433600093114
DuxburyPWS3,LE5%,LT10,6.497270759727418,0.0,6.497270759727418
EastReservoir,GT5%,LT10,17.61827935924739,0.0,17.61827935924739
EelRiver57,GT5%,LT10,8194.709314841384,0.0,8194.709314841384
EelRiver57,LE5%,LT10,3.0248651845274446,0.0,3.0248651845274446
EelRiver58,GT5%,LT10,73041.7149057583,0.0,73041.7149057583
EelRiver58,LE5%,LT10,9.805407734061959,0.0,9.805407734061959
EelRiver61,GT5%,LT10,184586.63511030033,93679.13533627518,90907.49977402514
EelRiver61,LE5%,LT10,47580.77262148622,47580.77262148622,0.0
EelRiver63,LE5%,LT10,36918.59010568341,0.0,36918.59010568341
EelRiver65,GT5%,LT10,6145.1297394927815,0.0,6145.1297394927815
EelRiver68,GT5%,LT10,20382.21027763169,0.0,20382.21027763169
EelRiver68,LE5%,LT10,32885.90945922915,0.0,32885.90945922915
EelRiver69,GT5%,LT10,20916.883914846687,0.0,20916.883914846687
EelRiver69,LE5%,LT10,20687.734787361314,0.0,20687.734787361314
EelRiver71,GT5%,LT10,9368.985063257098,0.0,9368.985063257098
EelRiver72,GT5%,LT10,54843.048102165965,0.0,54843.048102165965
EelRiver72,LE5%,LT10,4976.780756934562,0.0,4976.780756934562
EelRiver74,GT5%,LT10,3549.082377784188,3549.082377784188,0.0
EelRiver75,GT5%,LT10,91022.70374568395,66713.90073766628,24308.803008017672
EelRiver75,LE5%,LT10,807.1282242567955,807.1282242567955,0.0
EelRiver85,GT5%,LT10,16423.723739134668,9.595074137662047,16414.128664997006
EelRiver85,LE5%,LT10,11145.7085266239,11145.7085266239,0.0
ElbowPond,GT5%,LT10,0.0011538749959152193,0.0,0.0011538749959152193
ElbowPond,LE5%,LT10,9215.618062591811,0.0,9215.618062591811
EmeryPond,GT5%,LT10,3.3785047226769933,0.0,3.3785047226769933
EmeryPond,LE5%,LT10,6955.732148756709,0.0,6955.732148756709
FawnPond,GT5%,LT10,17710.08624974623,0.0,17710.08624974623
FawnPond,LE5%,LT10,20633.34078191672,0.0,20633.34078191672
FilendsPond,GT5%,LT10,20144.62443494799,13010.89919709771,7133.725237850279
FilendsPond,LE5%,LT10,129.52606596574557,0.0,129.52606596574557
FlaxPondFalmouthGreatPond,GT5%,LT10,8654.925760215203,0.0,8654.925760215203
FlaxPondFalmouthGreatPond,LE5%,LT10,30.21292784115345,0.0,30.21292784115345
FlaxPondHarwich,GT5%,LT10,150.55497368460564,0.0,150.55497368460564
FlaxPondHarwich,LE5%,LT10,7177.855822874716,0.0,7177.855822874716
FollinsPond,GT5%,GT10,28302.883200320746,0.0,28302.883200320746
FollinsPond,GT5%,LT10,17868.3631740782,0.0,17868.3631740782
FoundryPondStream,GT5%,LT10,34938.769867700335,0.0,34938.769867700335
FoundryPondStream,LE5%,LT10,0.494877469663317,0.0,0.494877469663317
FrogfootBrook,GT5%,LT10,121246.90402296558,0.0,121246.90402296558
FrogfootBrook,LE5%,LT10,211359.33951792185,0.0,211359.33951792185
GaugeHamblinBrook,GT5%,LT10,39744.60213545669,0.0,39744.60213545669
GaugeJonesLn,GT5%,LT10,61129.76559039224,0.0,61129.76559039224
GrayBrook,GT5%,LT10,136732.26674354926,0.0,136732.26674354926
GrayBrook,LE5%,LT10,1365.4019867195295,0.0,1365.4019867195295
HalfwayPond,GT5%,LT10,42001.06307618777,0.0,42001.06307618777
HalfwayPond,LE5%,LT10,2.5969593401027504,0.0,2.5969593401027504
HamblinPondBarnstable,GT5%,LT10,219.52138739501143,0.0,219.52138739501143
HamblinPondBarnstable,LE5%,LT10,12090.985556428332,0.0,12090.985556428332
HarlowBrook,GT5%,LT10,434298.3712008471,0.0,434298.3712008471
HarlowBrook,LE5%,LT10,290559.81587675906,0.0,290559.81587675906
HarrobsCornerBogPond,GT5%,LT10,442.06320974997556,0.0,442.06320974997556
HarrobsCornerBogPond,LE5%,LT10,54754.29398579839,0.0,54754.29398579839
HerringRiverHarwich,GT5%,GT10,0.535480490005376,0.0,0.535480490005376
HerringRiverHarwich,GT5%,LT10,56660.91516443206,0.0,56660.91516443206
HerringRiverHarwich,LE5%,GT10,386.72248792278475,0.0,386.72248792278475
HerringRiverHarwich,LE5%,LT10,30074.56487786993,0.0,30074.56487786993
HinckleysPond,GT5%,LT10,1156.7681600712756,0.0,1156.7681600712756
HinckleysPond,LE5%,LT10,115201.30115682047,0.0,115201.30115682047
HoxiesPond,GT5%,LT10,2.8440345419151605,0.0,2.8440345419151605
HoxiesPond,LE5%,LT10,24749.635495403505,0.0,24749.635495403505
IndianPond,GT5%,LT10,38125.43379321621,0.0,38125.43379321621
InnerBackRiver,GT5%,LT10,49828.88062523939,0.0,49828.88062523939
InnerBackRiver,LE5%,LT10,548.6864986129581,0.0,548.6864986129581
InnerBackRiverStream,GT5%,LT10,50835.99113208437,0.0,50835.99113208437
InnerBackRiverStream,LE5%,LT10,1.4347029294113685,0.0,1.4347029294113685
IslandCreekPond,GT5%,LT10,86139.53128042059,665.6642075895608,85473.86707283102
IslandCreekPond,LE5%,LT10,4080.460517415509,0.0,4080.460517415509
JonesRIverUSGSGauge,GT5%,LT10,1192441.2491562755,115825.39168071908,1076615.8574755564
JonesRIverUSGSGauge,LE5%,LT10,266834.2371356349,97328.01745182661,169506.21968380827
LakeWequaquetShallowPond,GT5%,LT10,19480.722109959555,0.0,19480.722109959555
LongHillCreek,GT5%,LT10,64170.52856127622,0.0,64170.52856127622
LongHillCreek,LE5%,LT10,103075.10799837223,0.0,103075.10799837223
LongPondBrewster,GT5%,LT10,47026.15937222789,0.0,47026.15937222789
LongPondBrewster,LE5%,LT10,1.2984915804828592,0.0,1.2984915804828592
LothrupRd,GT5%,GT10,38.9039175135851,0.0,38.9039175135851
LothrupRd,GT5%,LT10,133693.95494126825,0.0,133693.95494126825
LothrupRd,LE5%,LT10,1.3207677166311844,0.0,1.3207677166311844
LoutPond,GT5%,LT10,16520.930259449233,0.0,16520.930259449233
LovellsPond,GT5%,LT10,49297.94585402851,49297.94585402851,0.0
LovellsPond,LE5%,LT10,19347.68397968174,19347.68397968174,0.0
LoversLake,GT5%,LT10,13107.97138871893,0.0,13107.97138871893
LoversLake,LE5%,LT10,2.515982561241459,0.0,2.515982561241459
LowerChandlerPond,GT5%,LT10,98011.75062863735,98011.75062863735,0.0
LowerCoonamessettRiver,GT5%,LT10,37608.81775122608,0.0,37608.81775122608
LowerCoonamessettRiver,LE5%,LT10,121780.22670009249,0.0,121780.22670009249
LowerMarstonsMillsRiverN,GT5%,LT10,61532.94387816002,0.0,61532.94387816002
LowerMarstonsMillsRiverN,LE5%,LT10,3.227584809970303,0.0,3.227584809970303
LowerMuddyCreek,GT5%,LT10,639.795157119701,0.0,639.795157119701
LowerMuddyCreek,LE5%,LT10,4893.603035795737,0.0,4893.603035795737
MapleSwamp,GT5%,LT10,787027.6317117363,0.0,787027.6317117363
MapleSwamp,LE5%,LT10,123.3724103979469,0.0,123.3724103979469
MashpeeWakebyPond,GT5%,LT10,26754.587942654725,0.0,26754.587942654725
MashpeeWakebyPond,LE5%,LT10,14671.742680470506,0.0,14671.742680470506
MicahPond,GT5%,LT10,20.87178972976205,0.0,20.87178972976205
MicahPond,LE5%,LT10,2588.1733662610704,0.0,2588.1733662610704
MiddleAcushnetRiver,GT5%,LT10,4874.589636382495,4874.589636382495,0.0
MiddlePond,GT5%,LT10,9374.79651642895,0.0,9374.79651642895
MiddlePond,LE5%,LT10,299.8923484150444,0.0,299.8923484150444
MiddleQuashnetRiver,GT5%,LT10,10253.895059469156,0.0,10253.895059469156
MiddleQuashnetRiver,LE5%,LT10,1323.6325139291982,0.0,1323.6325139291982
MillPond,GT5%,LT10,1373823.6073991298,0.0,1373823.6073991298
MillPond,LE5%,LT10,313146.23328032164,0.0,313146.23328032164
MillStream,GT5%,LT10,37823.92881198492,0.0,37823.92881198492
MillStream,LE5%,LT10,82.14790237960548,0.0,82.14790237960548
MuddyPondBarnstable,GT5%,LT10,68805.56095471236,0.0,68805.56095471236
MuddyPondBarnstable,LE5%,LT10,377.1922445740459,0.0,377.1922445740459
MysticLake,GT5%,LT10,57745.90490645257,0.0,57745.90490645257
MysticLake,LE5%,LT10,125.78126064858172,0.0,125.78126064858172
NamequoitRiver,GT5%,LT10,5040.6792115056915,0.0,5040.6792115056915
NamequoitRiver,LE5%,LT10,3.5979689553935836,0.0,3.5979689553935836
NamskaketMain,GT5%,LT10,6307.88002789653,0.0,6307.88002789653
NamskaketStream,GT5%,LT10,10534.272430150444,0.0,10534.272430150444
NewBedfordReservoir,GT5%,LT10,811468.3006449391,35487.54296581776,775980.7576791213
NewBedfordReservoir,LE5%,LT10,68472.40329403903,0.0,68472.40329403903
NorthBay,GT5%,GT10,34733.73532353666,0.0,34733.73532353666
NorthHillPond,GT5%,LT10,16045.31864038144,0.0,16045.31864038144
NorthHillPond,LE5%,LT10,10008.665265767193,0.0,10008.665265767193
OldHarborCreek,GT5%,LT10,7718.155529378635,0.0,7718.155529378635
OldHarborCreek,LE5%,LT10,0.010631882707170099,0.0,0.010631882707170099
OysterPondChatham,GT5%,GT10,17780.911317206574,0.0,17780.911317206574
ParkerMillsPond,GT5%,LT10,475276.9564871569,0.0,475276.9564871569
PaskamansettRiver,GT5%,LT10,61858.85437009423,0.0,61858.85437009423
PembrokeStSouthPond,GT5%,LT10,91944.54291200629,0.0,91944.54291200629
PilgrimLake,GT5%,LT10,9.505913216508734,0.0,9.505913216508734
PilgrimLake,LE5%,LT10,986.862650953811,0.0,986.862650953811
PinePond,GT5%,LT10,322.79624827135484,0.0,322.79624827135484
PinePond,LE5%,LT10,9260.48764762868,0.0,9260.48764762868
PlashesBrook,GT5%,GT10,68.6093571171919,0.0,68.6093571171919
PlashesBrook,GT5%,LT10,106943.08033431416,0.0,106943.08033431416
PlashesBrook,LE5%,LT10,8.217759480479632,0.0,8.217759480479632
PlashesPond,GT5%,LT10,3.7743040218925286,0.0,3.7743040218925286
PlashesPond,LE5%,LT10,1818.0074061270795,0.0,1818.0074061270795
